filenameNumber,labile,moleculeID,smiles,containsAromaticSystem,labileProtonType,solvent,solventShift,machineFrequency
2,1,didD`ND@aJYfJjef`@,S1(C(=CC=C1(C(=O)O))C),1,OH,DMSO,2.5,250.131544655141
6,1,gOr@ACTiYK@H@@,C=1(N=NC=CN=1)(N),1,NH2,DMSO,2.5,250.131544655141
10,1,dk^D@IADfVyWz]MjdHB@@,N1(C=2(C=CC=CC=2(C(=C1)C(OC)=O))),1,NH,DMSO,2.5,250.131544655141
17,1,daFH@DAIe^f`@`@@,N1(=C(C=CC(=C1)C)O),1,OH,DMSO,2.5,250.131544655141
21,1,devH`Bp@cIEEBdUCMR@D@@,C=1(C2(=C(C=CC=1)SC(=N2)O)),1,OH,DMSO,2.5,250.131544655141
31,1,dmLL@@YTfYWrXYZB@h@@,C1(=C(C=CC2(=C1OCC2=O))O),1,OH,DMSO,2.5,250.131544655141
32,1,dg^DpJNpdDdLdLbdLRTv`sU@AS@@@,C(C1(=NC(=C(C(O)=O)C=C1)C))(F)(F)F,1,OH,DMSO,2.5,250.131544655141
34,1,dkmD@LLDrJIQRIWSZjjj`@,C(N1(CCNCC1))(OC(C)(C)C)=O,0,NH,CDCl3,7.26,250.131544655141
37,1,dknHHIXHaYCY@yAIe[Vjz@Hjh@@,C(OC=1(C=C(Cl)C=CC=1N))(F)(F)F,1,NH2,CDCl3,7.26,250.131544655141
38,1,dmN@@@RfV[kaV`bH`@@,C1=2(NCCCC1=CC=CC=2C),1,NH,CDCl3,7.26,250.131544655141
39,1,dg\L@@RtfU^U}Mjj@B@@,C(=O)(CCC1(=CC=C(C=C1)O))OCC,1,OH,CDCl3,7.26,250.131544655141
40,1,dg}@@@mJUue\jtp@h@H@@,C=2(C=C(CC1(=CC=C(C=C1)N))C=CN=2),1,NH2,CDCl3,7.26,250.131544655141
41,1,dk]H@JLDiWYWJevjh@J@@,N2(C=1(C=CC(=CC=1)N))(CCOCC2),1,NH2,CDCl3,7.26,250.131544655141
42,1,fhiab@BZlxD`dsJvZrPeP@@EMP@@@,C1(=C(C=2(C=CC=C(C=2(N=C1))F))O)(C(=O)OCC),1,OH,DMSO,2.5,250.131544655141
43,1,dg@@@b|dTTTQVqUisUA@R@@,N1(N=C(C=C1(C))C)(C=2(C=CC(N)=CC=2)),1,NH2,CDCl3,7.26,250.131544655141
46,1,daGH@Hk`ReWpjVn@@,O1(N=C(C(C#N)=C1)N),1,NH2,DMSO,2.5,250.131544655141
50,1,dmvHPEdH`iAIf]yn``I`@@,C(C1(=CC(Cl)=C(C=C1)F))(=O)N,1,NH2,DMSO,2.5,250.131544655141
52,1,dcLDPBTIBYAIf^VXXHHf@@,C=1(C(=C(F)C=C(C=1)F)O)(C(=O)C),1,OH,CDCl3,7.26,250.131544655141
56,1,dcNHPMXHaPaIe[vkh@bf@@,C(=S)(COC1(=CC(Cl)=CC=C1))N,1,NH2,DMSO,2.5,250.131544655141
57,1,daG@`DK`bDfUzZ@B@@,N1(=NC(Cl)=CC=C1N),1,NH2,DMSO,2.5,250.131544655141
