filenameNumber,labile,moleculeID,smiles,maxWidth,maxWidthIntensity,maxWidthShift,labileProtonType,labileProtonNumber,heteroatomsList,rangesPeaksRatio,solvent,solventShift,containsAromaticSystem,singletFit
2,1,didD`ND@aJYfJjef`@,S1(C(=CC=C1(C(=O)O))C),0.004420646338235024,0.2506754377087675,7.5445377790088095,["OH"],1,["O"],0.21428571428571427,DMSO,2.5,1,2.993951536280731
6,1,gOr@ACTiYK@H@@,C=1(N=NC=CN=1)(N),0.02526083621848585,0.5169251828854304,7.208961207161713,["NH2"],2,["N"],0.22727272727272727,DMSO,2.5,1,7.877633776568564
10,1,dk^D@IADfVyWz]MjdHB@@,N1(C=2(C=CC=CC=2(C(=C1)C(OC)=O))),0.0037891254327728774,0.11815534450142556,7.1826832426223985,["NH"],1,["N"],0.4375,DMSO,2.5,1,2.941822485361334
17,1,daFH@DAIe^f`@`@@,N1(=C(C=CC(=C1)C)O),0.006315209054621462,0.19887890413693904,6.2469289697716945,["OH"],1,["O"],0.4117647058823529,DMSO,2.5,1,3.0572605218446554
21,1,devH`Bp@cIEEBdUCMR@D@@,C=1(C2(=C(C=CC=1)SC(=N2)O)),0.06078112406387156,0.14856027441682643,11.895883509369634,["OH"],1,["O"],0.17142857142857143,DMSO,2.5,1,5.531882069144882
31,1,dmLL@@YTfYWrXYZB@h@@,C1(=C(C=CC2(=C1OCC2=O))O),0.0056836881491513225,0.1980827880062232,10.932029961719547,["OH"],1,["O"],0.4375,DMSO,2.5,1,0.6562595143068457
32,1,dg^DpJNpdDdLdLbdLRTv`sU@AS@@@,C(C1(=NC(=C(C(O)=O)C=C1)C))(F)(F)F,0.007578250865535097,0.1340693443230791,8.390597196848098,["OH"],1,["O"],0.6,DMSO,2.5,1,2.569206304492268
34,1,dkmD@LLDrJIQRIWSZjjj`@,C(N1(CCNCC1))(OC(C)(C)C)=O,0.005683688149155319,0.10244952562088565,2.6611566793135064,["NH"],1,["N"],0.25,CDCl3,7.26,0,1.5149054934079864
37,1,dknHHIXHaYCY@yAIe[Vjz@Hjh@@,C(OC=1(C=C(Cl)C=CC=1N))(F)(F)F,0.07990114067687235,0.1862977417872981,3.802820413991263,["NH2"],2,["N"],0.3333333333333333,CDCl3,7.26,1,9.600641465187456
38,1,dmN@@@RfV[kaV`bH`@@,C1=2(NCCCC1=CC=CC=2C),0.02020866897477447,0.06689037249757014,3.686969117399544,["NH"],1,["N"],0.28,CDCl3,7.26,1,0.8338459398196978
39,1,dg\L@@RtfU^U}Mjj@B@@,C(=O)(CCC1(=CC=C(C=C1)O))OCC,0.016419543542015802,0.07905476370406543,5.325050812634894,["OH"],1,["O"],0.2962962962962963,CDCl3,7.26,1,0.7762772622598108
40,1,dg}@@@mJUue\jtp@h@H@@,C=2(C=C(CC1(=CC=C(C=C1)N))C=CN=2),0.018945627163851064,0.18113394038870598,3.635815924057146,["NH2"],2,["N"],0.1794871794871795,CDCl3,7.26,1,1.8783913907439145
41,1,dk]H@JLDiWYWJevjh@J@@,N2(C=1(C=CC(=CC=1)N))(CCOCC2),0.08867288156957459,0.10891243178799792,3.4513948075549674,["NH2"],2,["N"],0.1875,CDCl3,7.26,1,6.503444184439804
42,1,fhiab@BZlxD`dsJvZrPeP@@EMP@@@,C1(=C(C=2(C=CC=C(C=2(N=C1))F))O)(C(=O)OCC),0.014524980825608935,0.07504652191671388,12.501106394928168,["OH"],1,["O"],0.28125,DMSO,2.5,1,0.10210363728106964
43,1,dg@@@b|dTTTQVqUisUA@R@@,N1(N=C(C=C1(C))C)(C=2(C=CC(N)=CC=2)),0.02399779440754468,0.05411367993839713,3.7835918159351842,["NH2"],2,["N"],0.5,CDCl3,7.26,1,0.6852367633818724
46,1,daGH@Hk`ReWpjVn@@,O1(N=C(C(C#N)=C1)N),0.015156501731070193,0.4945213668439083,8.4664741864154,["NH2"],2,["N"],0.42857142857142855,DMSO,2.5,1,4.2210066824082695
50,1,dmvHPEdH`iAIf]yn``I`@@,C(C1(=CC(Cl)=C(C=C1)F))(=O)N,0.017682585352940094,0.23521040710709074,7.588505271344463,["NH2"],2,["N"],0.2608695652173913,DMSO,2.5,1,33.79636121829399
52,1,dcLDPBTIBYAIf^VXXHHf@@,C=1(C(=C(F)C=C(C=1)F)O)(C(=O)C),0.0069467299600836085,0.05933979910285404,7.114676633984657,["OH"],1,["O"],0.36363636363636365,CDCl3,7.26,1,0.38489519177162745
56,1,dcNHPMXHaPaIe[vkh@bf@@,C(=S)(COC1(=CC(Cl)=CC=C1))N,0.005683688149159316,0.10041278709742561,7.379370207989687,["NH2"],2,["N"],0.1724137931034483,DMSO,2.5,1,3.7747378514181795
57,1,daG@`DK`bDfUzZ@B@@,N1(=NC(Cl)=CC=C1N),0.013893459920167217,0.6776486470221764,6.64494903138633,["NH2"],2,["N"],0.45454545454545453,DMSO,2.5,1,5.319463367700448
61,1,f`q`c@EN|BHIDRBLbbbfTJrgAZMADDuLH@@,S2(C=C(N=C2(C1(=C(C(=CC=C1)Cl)Cl)))C(=O)O),0.05052167243693617,0.2996591729395605,3.3529208350282973,["OH"],1,["O"],0.19047619047619047,DMSO,2.5,1,9.071594253955725
68,1,f`q`b@FN|@HrQQ[QQQVXiKULuLtu@@@,N1(C(C)=C(C(O)=O)C=C1C)(CC2(=CC=CS2)),0.015156501731070193,0.07213175445770391,11.562034808507278,["OH"],1,["O"],0.375,DMSO,2.5,1,0.6507426407685213
72,1,didH@@RYWjZjjh@@,C1(CCC(O)CC1)(C)(C),0.01199889720377656,0.10250648469798437,1.1591659257769937,["OH"],1,["O"],0.1875,CDCl3,7.26,0,3.896776029270017
73,1,dknD`LxPBLdTRLrdJjefjh@@,N(C1(=CC=CS1))C(OC(C)(C)C)=O,0.004420646338231915,0.05798239200268597,3.358775052914718,["NH"],1,["N"],0.75,DMSO,2.5,1,0.14955469717131492
75,1,fdy`a@KN|CDLDYEDeeEDeJjLTZ@BejZb@@,C=1(C(=CSC=1N)C=2(C=CC(Br)=CC=2))(C(=O)OCC),0.016419543542015802,0.17038544741689526,6.104090804025502,["NH2"],2,["N"],0.30434782608695654,CDCl3,7.26,1,11.42912173064665
86,1,dcNHpMhIAICICHiCDhmpuTuT`@,O1(C(C(F)(F)F)=C(CN)C=C1C),0.01515650173108618,0.2060554560771317,1.3011049212258485,["NH2"],2,["N"],0.4166666666666667,CDCl3,7.26,1,1.800103446510834
93,1,dclL@@QdfyeXUgV``bH@@,C=1(C(=O)O)(C2(=C(C=CC=1)CCO2)),0.05304775605878298,0.1448797523484413,3.3420618767081276,["OH"],1,["O"],0.13953488372093023,DMSO,2.5,1,40.29644808069365
98,1,difH@ACIEEE\jfZh@@,O1(C(C)=CC(=C1(C))CN),0.03157604527309621,0.08392439585691996,1.6365223286355515,["NH2"],2,["N"],0.8,CDCl3,7.26,1,1.5475785890319524
103,1,dclL@@[\dTRbJuLLtE@U@@@,C12(=C(OCCO1)C=CC(=C2)CO),0.008841292676470047,0.08881265496085847,4.494684355485409,["OH"],1,["O"],0.375,CDCl3,7.26,1,0.6261220730430923
105,1,dcnD@MAldTRbJuLLtE@U@@@,C12(=C(OCCO1)C=CC(=C2)CN),0.006315209054619242,0.1895793468466078,1.5061839341401166,["NH2"],2,["N"],0.4444444444444444,CDCl3,7.26,1,0.7134107452179522
108,1,f`qPb@NB]xDPdrnrwuFJu@ATmLP@@,N1(C(=C(C=N1)C(O)=O)C)(C=2(C=CC(=CC=2)Cl)),0.007578250865545755,0.054731635180600535,7.572717248707909,["OH"],1,["O"],0.3333333333333333,DMSO,2.5,1,6.9839256448144935
112,1,dg|B`IWSBPRYVUeicn@BijH@@,C2(=C1(C(COCO1)=CC(=C2)F))(C(O)=O),0.015156501731070193,0.09175701075144346,13.08400019066891,["OH"],1,["O"],0.4117647058823529,DMSO,2.5,1,0.870328107195868
116,1,dkmD@BXDR[f^eaZfjjP@,N1(C(C)(C)C)(C(=CC(=N1)C)C(=O)O),0.005683688149159316,0.10083931004860462,6.628205587087425,["OH"],1,["O"],1,DMSO,2.5,1,0.13643238264770596
119,1,dg~D`NePBLdTTTtrIL]uL`pD@@,C2(C1(=CC=C(C(O)=O)S1))(=NC=CC=C2),0.021471710785682774,0.1875994292025381,13.224197831681309,["OH"],1,["O"],0.1590909090909091,DMSO,2.5,1,2.5885452798522133
